BLOCKGRP,Land_Acres,BG_ACRES,ACRES_DIFF,UTC_Acres,POP_2013,POP_DEN_2013,Hispanic_pct,White_pct,Black_pct,NativeAmer_pct,Asian_pct,PacIsland_pct,OtherRace_pct,TwoPlus_pct,MedHshldIncome,Vacant_pct,Rent_pct,Value,NoHighSchool_pct,HighSchool_pct,College_pct,AdvDegree_pct
160010105042,522.8983141,524.2245566,1.326242534,47.56680108,2783,0.188366711,7.689543658,95.04132231,0,0,4.204096299,0,0.754581387,0,79338,5.567226891,30.03337041,191600,0,19.74148061,33.9012926,9.929494712
160010022243,391.1438181,392.5497916,1.405973555,54.7931514,1134,0.3461638374,0,91.97530864,0,6.701940035,1.322751323,0,0,0,48594,0,28.89344262,204900,0.7843137255,14.24836601,30.8496732,22.61437908
160010009004,200.5840826,202.0231617,1.439079122,61.14598412,1631,0.1238645995,19.19068056,91.84549356,0,4.414469651,0.9196811772,0,0,5.64071122,48250,1.907790143,29.33549433,155600,1.92139738,20.87336245,35.45851528,6.200873362
160010003043,259.1405886,260.5802311,1.439642467,55.41635121,1163,0.2240586682,2.751504729,98.53826311,0,0,1.461736887,0,0,0,72819,6.563706564,17.14876033,186000,0,8.405438813,33.99258344,30.5315204
160010015001,283.5803806,285.0677822,1.48740158,77.28246096,1393,0.2046430597,7.250538406,99.2103374,0,0,0,0,0,1.579325197,43795,10.69958848,31.33640553,185500,1.158645276,19.51871658,39.21568627,9.803921569
160010103331,296.1153452,297.7509094,1.635564167,34.88930564,2354,0.1264872172,15.20815633,96.34664401,0.0424808836,0,0,0,0,7.221750212,34393,3.926701571,44.95912807,139900,4.406364749,32.61933905,17.93145655,1.285189718
160010024131,274.4402631,276.1001167,1.65985363,65.11424974,2958,0.09334013411,15.24678837,81.40635565,10.71670047,2.366463827,0.7775524003,0,0.4056795132,8.654496281,45833,0,40.57539683,154700,5.783689994,34.12377097,25.67958357,7.287449393
160270215003,126.1055564,127.8691102,1.76355384,27.11833502,589,0.2170952636,19.35483871,86.92699491,0,0,10.69609508,0,0,4.753820034,22104,16.87116564,45.75645756,81800,6.26450116,30.16241299,17.86542923,0
160010103332,637.1942371,639.0119603,1.817723192,64.90915226,2781,0.2297777635,3.595828839,91.51384394,1.977705861,0,2.121539015,0,0,8.773822366,64236,4.04040404,18.31578947,170500,4.224537037,34.43287037,30.6712963,7.986111111
160010012011,349.5160189,351.446694,1.930675057,102.4185165,2048,0.171604831,9.08203125,89.99023438,0.732421875,2.392578125,2.44140625,0,1.5625,5.76171875,78015,4.312354312,15.22533496,229100,2.165087957,15.0879567,36.40054127,13.93775372
160010023104,217.4026398,219.3926237,1.989983901,33.26458763,1688,0.1299719335,10.13033175,95.08293839,0,1.777251185,1.362559242,0,0.9478672986,1.658767773,35868,1.841359773,44.87734488,120900,2.420856611,27.37430168,28.67783985,3.631284916
160010018001,264.2066503,266.2693155,2.062665206,53.28160766,1346,0.1978226713,0,95.24517088,0,0,0.9658246657,0,0,7.578008915,43158,0,19.43396226,185100,0,15.45945946,36.97297297,7.351351351
160010017002,110.4631045,112.5481437,2.08503916,25.4061417,1593,0.07065169094,7.972379159,85.49905838,3.766478343,0,9.290646579,0,0,2.887633396,31104,11.29032258,72.89256198,119400,1.863354037,20.2484472,23.72670807,9.689440994
160010103352,278.5816336,280.7978183,2.2161847,45.79876194,2634,0.1066050943,2.961275626,96.54517844,0,0,0.4555808656,0,1.025056948,3.948367502,64800,4.158004158,29.5010846,160300,0,27.9516749,37.72652389,2.745744097
160010003042,374.8779893,377.231049,2.353059661,85.85874807,2869,0.1314852035,6.378529104,92.19240153,0.9759498083,0.592540955,3.136981527,0,0.4879749041,5.228302544,49906,3.69595537,30.41274439,170000,0.744047619,14.28571429,44.79166667,12.15277778
160010008024,287.1439479,289.5487733,2.404825366,76.56461977,3169,0.0913691301,9.813821395,91.41685074,0,0,7.44714421,0,0.8204480909,0.6311139161,83953,8.47711928,38.60655738,260400,0,14.62047886,40.19358125,19.46001019
160010022242,567.2945516,569.7624368,2.467885226,90.59897096,3770,0.1511306198,12.30769231,83.52785146,1.777188329,2.625994695,7.161803714,0,0,9.814323607,72176,0,18.87096774,183200,0,27.33722871,25.08347245,9.265442404
160270204021,280.552288,283.0763679,2.524079952,26.06270075,1294,0.2187607171,6.877897991,89.33539413,0,3.323029366,0.9273570325,0,3.091190108,6.646058733,36099,0,28.8248337,88200,1.348039216,52.69607843,19.60784314,1.470588235
160010102252,548.5107831,551.1809277,2.670144634,112.9259323,3761,0.1465516958,1.887795799,90.37490029,0,1.169901622,0.4520074448,0,7.604360542,0.7976601968,57639,3.882833787,35.36498937,227400,0.5629272216,13.14837153,49.17571371,5.870526739
160010011003,323.7154097,326.462463,2.74705335,46.04685576,1002,0.3258108413,10.67864271,96.90618762,0,0,0,0,0,6.18762475,24768,0,46.53937947,112100,3.343023256,23.25581395,18.02325581,3.343023256
160270211003,1623.645491,1626.49276,2.847268343,80.27638998,3405,0.4776777561,13.68575624,93.68575624,0,0.2055800294,0.5286343612,0,3.28928047,4.581497797,53438,18.97546898,26.8032057,127400,2.006018054,31.19358074,26.88064193,1.654964895
160270219011,684.2886508,687.1478961,2.859245259,56.79964724,1564,0.4393528747,0.7672634271,96.41943734,0,1.406649616,0.7033248082,0,0,2.941176471,45231,1.121495327,24.00756144,107800,5.714285714,40.47619048,13.33333333,4.523809524
160010023022,818.8972812,821.7985393,2.901258054,91.14779205,3473,0.2366249753,24.64727901,88.45378635,0,0,6.363374604,0,3.944716384,2.476245321,38086,8.150064683,61.12676056,116600,10.91644205,19.85624438,30.54806828,7.681940701
