BLOCKGRP,Land_Acres,UTC_Acres,POP_2013,Hispanic_pct,White_pct,Black_pct,NativeAmer_pct,Asian_pct,PacIsland_pct,OtherRace_pct,TwoPlus_pct,MedHshldIncome,Vacant_pct,Rent_pct,Value,NoHighSchool_pct,HighSchool_pct,College_pct,AdvDegree_pct
160270209012,1086.46597,132.6713835,3733,26.25234396,90.57058666,0,0,0,0,1.901955532,15.05491562,57521,8.358388455,12.27034121,124600,2.631578947,35.5994152,19.80994152,9.320175439
160270209013,1269.832224,118.1623428,2336,27.05479452,97.47431507,0,2.525684932,0,0,0,0,74012,0,29.19254658,189300,5.518945634,41.26853377,16.80395387,3.459637562
160270209021,1927.778549,80.93714982,6186,22.08212092,92.77400582,0,1.632719043,0,0.6789524733,4.17070805,1.487229227,49252,4.80349345,21.04994903,130800,6.263796909,24.28256071,20.1986755,6.456953642
160270209022,1760.817903,61.76844263,4625,22.76756757,84.8,0.3459459459,1.318918919,4.432432432,1.751351351,1.881081081,10.94054054,66298,5.129913391,10.88483146,185400,10.52086927,23.42186961,26.9058296,11.00379441
160270209023,669.9963748,72.6764163,3541,12.84947755,93.81530641,1.24258684,0,0,0,3.55831686,2.76757978,57241,5.01232539,18.07958478,148900,2.435897436,28.33333333,34.82905983,5.341880342
160270210011,4021.553595,111.7151158,12492,30.17931476,91.60262568,0.1520973423,0.9526096702,1.53698367,0,2.4415626,6.628242075,44995,10.71349189,25.14314165,111100,4.969473236,29.95882436,21.73789578,2.356950163
160270210021,2958.834102,53.82227428,1510,20.79470199,92.71523179,0,0,0,0,3.642384106,7.284768212,40768,1.869158879,38.66666667,107900,13.28293737,28.61771058,14.79481641,1.61987041
160270210022,924.1017817,39.66708855,2287,5.509400962,94.75295146,0,0.9619588981,0.568430258,0,1.792741583,3.847835592,46554,4.347826087,21.41148325,104100,4.305555556,26.18055556,21.52777778,3.472222222
160270210023,399.1253057,40.83268472,1828,30.85339168,84.73741794,4.32166302,0,0,0,10.94091904,0,42091,10.31746032,33.80530973,113100,1.439539347,36.94817658,15.83493282,0.575815739
160270210024,507.8781995,45.33642774,3188,14.89962359,96.07904642,0,1.035131744,0.9096612296,0,0,3.952321205,32219,6.924101198,24.39198856,60900,9.653767821,35.80448065,10.75356415,4.236252546
160270211001,5304.309747,170.2304158,7153,24.60506081,90.87096323,0.3075632602,0,0.3215434084,0,2.530406822,11.93904655,52130,9.156118143,18.85740827,119600,9.391858754,26.18930848,20.30407062,5.689063266
160270211002,5202.73464,183.0821206,4804,15.44546211,89.2173189,0.2497918401,0.1248959201,1.311407161,0.645295587,0.582847627,15.73688593,51969,10.59817945,38.61818182,143300,10.49429658,23.15589354,28.55513308,1.634980989
160270211003,1623.645491,80.27638998,3405,13.68575624,93.68575624,0,0.2055800294,0.5286343612,0,3.28928047,4.581497797,53438,18.97546898,26.8032057,127400,2.006018054,31.19358074,26.88064193,1.654964895
160270212001,438.060333,82.07704703,1767,18.1663837,79.79626486,0,0,2.886247878,0,17.31748727,0,42500,9.17721519,24.91289199,95500,7.892527288,23.4256927,24.43324937,2.602854744
160270212002,1135.491679,73.47184858,1566,56.25798212,90.42145594,0,0,0,0,5.683269476,7.79054917,16286,14.86880466,43.32191781,88600,12.9066107,38.8247639,9.758656873,0
160270212003,1757.151618,69.72844888,3620,37.3480663,92.90055249,0,0.8839779006,1.187845304,0,3.895027624,2.26519337,30547,8.93648449,38.60502839,94900,6.451612903,41.83467742,18.85080645,0.6048387097
160270213001,335.1685837,40.37603394,1728,78.00925926,92.12962963,1.851851852,1.215277778,0,0,4.803240741,0,22500,8.771929825,72.69230769,61300,23.74727669,46.94989107,2.505446623,0
160270213002,808.9828787,32.86081741,1773,63.67738297,81.10547095,0.6204173717,0.1692047377,0.5076142132,0,8.573040045,18.04850536,29325,7.710843373,60.05221932,71500,35.62628337,28.74743326,2.566735113,0
160270215001,152.7127429,17.44934782,882,49.20634921,87.52834467,0,2.040816327,0,0,5.782312925,9.297052154,19743,13.7704918,42.20532319,79700,13.74045802,40.26717557,8.969465649,0
160270215002,190.4607295,32.47854535,795,12.57861635,92.70440252,0,0,0,0,4.65408805,5.283018868,25781,0,54.10628019,112500,1.788617886,34.14634146,16.2601626,5.203252033
160270215003,126.1055564,27.11833502,589,19.35483871,86.92699491,0,0,10.69609508,0,0,4.753820034,22104,16.87116564,45.75645756,81800,6.26450116,30.16241299,17.86542923,0
160270215004,85.38341822,26.61473421,726,36.22589532,96.41873278,0,0,0,0,3.581267218,0,20221,10.87719298,66.92913386,117000,10.03039514,8.814589666,3.647416413,14.89361702
160270215005,192.5535135,30.36455866,2010,17.46268657,87.36318408,1.592039801,3.184079602,3.631840796,0.2985074627,0,7.860696517,18571,10.97744361,66.38513514,61800,4.538799414,45.24158126,14.49487555,2.489019034
160270216001,597.8747575,20.09584666,1357,53.57406043,94.7678703,0,0,0,0,4.716285925,1.031687546,18750,6.589785832,56.9664903,74400,23.46666667,28,14.53333333,0
160270216002,240.7010642,49.1512409,1979,32.18797372,97.67559373,0,0,0.9600808489,0,0.5558362809,1.616978272,39014,14.49451888,48.43304843,113000,7.39673391,26.22478386,22.09414025,5.379442843
160270216003,240.5133761,38.65049693,1186,10.11804384,95.27824621,0,0,0,0,0,9.443507589,58447,6.196581197,8.656036446,109800,3.864168618,27.63466042,21.77985948,4.918032787
160270217001,865.9892347,46.4696531,3857,45.94244231,91.72932331,0,1.788955146,0.7518796992,0,3.137153228,5.185377236,42532,6.50109569,25.46875,78500,9.174714662,33.09920983,16.33011414,0.6145741879
160270217002,858.7518046,82.2265458,4343,26.01888096,91.5956712,2.763067004,0.2302555837,1.565737969,0,2.763067004,2.164402487,47083,9.428223844,29.07991941,142000,2.384446075,27.80630961,23.51430668,8.217168012
