geoid,name,B03003001,B03003001e,B03003002,B03003002e,B03003003,B03003003e
15000US160010004004,"Block Group 4, Ada, ID",794.000000000000000,298.000000000000000,794.000000000000000,298.000000000000000,0.000000000000000,11.000000000000000
15000US160010004005,"Block Group 5, Ada, ID",1014.000000000000000,261.000000000000000,999.000000000000000,260.000000000000000,15.000000000000000,19.000000000000000
15000US160010005001,"Block Group 1, Ada, ID",1748.000000000000000,309.000000000000000,1665.000000000000000,270.000000000000000,83.000000000000000,111.000000000000000
15000US160010005002,"Block Group 2, Ada, ID",592.000000000000000,216.000000000000000,543.000000000000000,245.000000000000000,49.000000000000000,81.000000000000000
15000US160010005003,"Block Group 3, Ada, ID",1168.000000000000000,246.000000000000000,950.000000000000000,174.000000000000000,218.000000000000000,228.000000000000000
15000US160010005004,"Block Group 4, Ada, ID",1612.000000000000000,256.000000000000000,1550.000000000000000,244.000000000000000,62.000000000000000,58.000000000000000
15000US160010005005,"Block Group 5, Ada, ID",979.000000000000000,218.000000000000000,880.000000000000000,209.000000000000000,99.000000000000000,87.000000000000000
15000US160010006001,"Block Group 1, Ada, ID",451.000000000000000,160.000000000000000,431.000000000000000,162.000000000000000,20.000000000000000,32.000000000000000
15000US160010006002,"Block Group 2, Ada, ID",1420.000000000000000,236.000000000000000,1376.000000000000000,242.000000000000000,44.000000000000000,73.000000000000000
15000US160010006003,"Block Group 3, Ada, ID",771.000000000000000,252.000000000000000,737.000000000000000,264.000000000000000,34.000000000000000,56.000000000000000
15000US160010006004,"Block Group 4, Ada, ID",914.000000000000000,264.000000000000000,785.000000000000000,236.000000000000000,129.000000000000000,173.000000000000000
15000US160010006005,"Block Group 5, Ada, ID",831.000000000000000,352.000000000000000,803.000000000000000,349.000000000000000,28.000000000000000,45.000000000000000
15000US160010006006,"Block Group 6, Ada, ID",1148.000000000000000,224.000000000000000,1135.000000000000000,226.000000000000000,13.000000000000000,21.000000000000000
15000US160010007011,"Block Group 1, Ada, ID",1787.000000000000000,332.000000000000000,1705.000000000000000,347.000000000000000,82.000000000000000,74.000000000000000
15000US160010007012,"Block Group 2, Ada, ID",1181.000000000000000,272.000000000000000,1163.000000000000000,270.000000000000000,18.000000000000000,29.000000000000000
15000US160010007013,"Block Group 3, Ada, ID",2064.000000000000000,465.000000000000000,1973.000000000000000,469.000000000000000,91.000000000000000,67.000000000000000
15000US160010007021,"Block Group 1, Ada, ID",2812.000000000000000,338.000000000000000,2682.000000000000000,332.000000000000000,130.000000000000000,82.000000000000000
15000US160010008021,"Block Group 1, Ada, ID",607.000000000000000,170.000000000000000,581.000000000000000,180.000000000000000,26.000000000000000,41.000000000000000
15000US160010008022,"Block Group 2, Ada, ID",892.000000000000000,319.000000000000000,825.000000000000000,317.000000000000000,67.000000000000000,88.000000000000000
15000US160010008023,"Block Group 3, Ada, ID",1166.000000000000000,259.000000000000000,1082.000000000000000,273.000000000000000,84.000000000000000,114.000000000000000
15000US160010008024,"Block Group 4, Ada, ID",3169.000000000000000,480.000000000000000,2858.000000000000000,474.000000000000000,311.000000000000000,223.000000000000000
15000US160010008031,"Block Group 1, Ada, ID",1077.000000000000000,235.000000000000000,1068.000000000000000,237.000000000000000,9.000000000000000,15.000000000000000
15000US160010008032,"Block Group 2, Ada, ID",1219.000000000000000,376.000000000000000,1167.000000000000000,338.000000000000000,52.000000000000000,51.000000000000000
15000US160010008033,"Block Group 3, Ada, ID",929.000000000000000,228.000000000000000,917.000000000000000,225.000000000000000,12.000000000000000,19.000000000000000
15000US160010008034,"Block Group 4, Ada, ID",1609.000000000000000,273.000000000000000,1574.000000000000000,274.000000000000000,35.000000000000000,33.000000000000000
15000US160010008041,"Block Group 1, Ada, ID",3200.000000000000000,502.000000000000000,3064.000000000000000,494.000000000000000,136.000000000000000,109.000000000000000
15000US160010008042,"Block Group 2, Ada, ID",1815.000000000000000,350.000000000000000,1807.000000000000000,350.000000000000000,8.000000000000000,12.000000000000000
15000US160010008043,"Block Group 3, Ada, ID",1462.000000000000000,372.000000000000000,1428.000000000000000,373.000000000000000,34.000000000000000,56.000000000000000
