geoid,name,B25077001,B25077001e
15000US160010008042,"Block Group 2, Ada, ID",285100.000000000000000,53718.000000000000000
15000US160010008043,"Block Group 3, Ada, ID",141600.000000000000000,11201.000000000000000
15000US160010008051,"Block Group 1, Ada, ID",389600.000000000000000,27469.000000000000000
15000US160010008052,"Block Group 2, Ada, ID",285600.000000000000000,21369.000000000000000
15000US160010009001,"Block Group 1, Ada, ID",0.000000000000000,0.000000000000000
15000US160010009002,"Block Group 2, Ada, ID",181400.000000000000000,55939.000000000000000
15000US160010009003,"Block Group 3, Ada, ID",134400.000000000000000,43481.000000000000000
15000US160010009004,"Block Group 4, Ada, ID",155600.000000000000000,27121.000000000000000
15000US160010010001,"Block Group 1, Ada, ID",175400.000000000000000,85942.000000000000000
15000US160010010002,"Block Group 2, Ada, ID",160200.000000000000000,23785.000000000000000
15000US160010010003,"Block Group 3, Ada, ID",131300.000000000000000,20561.000000000000000
15000US160010010004,"Block Group 4, Ada, ID",155500.000000000000000,20451.000000000000000
15000US160010011001,"Block Group 1, Ada, ID",84600.000000000000000,62514.000000000000000
15000US160010011002,"Block Group 2, Ada, ID",13100.000000000000000,1887.000000000000000
15000US160010011003,"Block Group 3, Ada, ID",112100.000000000000000,49410.000000000000000
15000US160010012011,"Block Group 1, Ada, ID",229100.000000000000000,20026.000000000000000
15000US160010012012,"Block Group 2, Ada, ID",152600.000000000000000,6708.000000000000000
15000US160010012021,"Block Group 1, Ada, ID",117200.000000000000000,20534.000000000000000
15000US160010012022,"Block Group 2, Ada, ID",154100.000000000000000,13252.000000000000000
15000US160010012023,"Block Group 3, Ada, ID",169800.000000000000000,33136.000000000000000
15000US160010014001,"Block Group 1, Ada, ID",161000.000000000000000,51590.000000000000000
15000US160010014002,"Block Group 2, Ada, ID",120500.000000000000000,14233.000000000000000
15000US160010014003,"Block Group 3, Ada, ID",147400.000000000000000,21265.000000000000000
15000US160010014004,"Block Group 4, Ada, ID",119000.000000000000000,33905.000000000000000
