geoid,name,B02001001,B02001001e,B02001002,B02001002e,B02001003,B02001003e,B02001004,B02001004e,B02001005,B02001005e,B02001006,B02001006e,B02001007,B02001007e,B02001008,B02001008e,B02001009,B02001009e,B02001010,B02001010e
15000US160010012012,"Block Group 2, Ada, ID",1446.000000000000000,196.000000000000000,1422.000000000000000,194.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,9.000000000000000,14.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,15.000000000000000,23.000000000000000,0.000000000000000,11.000000000000000,15.000000000000000,23.000000000000000
15000US160010012021,"Block Group 1, Ada, ID",955.000000000000000,299.000000000000000,907.000000000000000,290.000000000000000,18.000000000000000,33.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,30.000000000000000,46.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
15000US160010012022,"Block Group 2, Ada, ID",3209.000000000000000,649.000000000000000,3021.000000000000000,667.000000000000000,16.000000000000000,26.000000000000000,0.000000000000000,11.000000000000000,11.000000000000000,19.000000000000000,0.000000000000000,11.000000000000000,105.000000000000000,103.000000000000000,56.000000000000000,48.000000000000000,56.000000000000000,48.000000000000000,0.000000000000000,11.000000000000000
15000US160010012023,"Block Group 3, Ada, ID",2670.000000000000000,525.000000000000000,2267.000000000000000,500.000000000000000,175.000000000000000,178.000000000000000,0.000000000000000,11.000000000000000,78.000000000000000,74.000000000000000,0.000000000000000,11.000000000000000,48.000000000000000,57.000000000000000,102.000000000000000,110.000000000000000,0.000000000000000,11.000000000000000,102.000000000000000,110.000000000000000
15000US160010014001,"Block Group 1, Ada, ID",1285.000000000000000,350.000000000000000,1087.000000000000000,325.000000000000000,60.000000000000000,87.000000000000000,0.000000000000000,11.000000000000000,25.000000000000000,39.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,113.000000000000000,126.000000000000000,0.000000000000000,11.000000000000000,113.000000000000000,126.000000000000000
15000US160010014002,"Block Group 2, Ada, ID",1269.000000000000000,315.000000000000000,1108.000000000000000,282.000000000000000,26.000000000000000,45.000000000000000,10.000000000000000,17.000000000000000,102.000000000000000,159.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,23.000000000000000,41.000000000000000,0.000000000000000,11.000000000000000,23.000000000000000,41.000000000000000
15000US160010014003,"Block Group 3, Ada, ID",1138.000000000000000,324.000000000000000,954.000000000000000,303.000000000000000,0.000000000000000,11.000000000000000,31.000000000000000,52.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,153.000000000000000,140.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
15000US160010014004,"Block Group 4, Ada, ID",1591.000000000000000,377.000000000000000,1231.000000000000000,228.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,29.000000000000000,43.000000000000000,0.000000000000000,11.000000000000000,281.000000000000000,309.000000000000000,50.000000000000000,73.000000000000000,0.000000000000000,11.000000000000000,50.000000000000000,73.000000000000000
15000US160010015001,"Block Group 1, Ada, ID",1393.000000000000000,246.000000000000000,1382.000000000000000,246.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,11.000000000000000,17.000000000000000,0.000000000000000,11.000000000000000,11.000000000000000,17.000000000000000
15000US160010015002,"Block Group 2, Ada, ID",880.000000000000000,158.000000000000000,861.000000000000000,156.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,19.000000000000000,21.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
