geoid,name,B11012001,B11012001e,B11012002,B11012002e,B11012003,B11012003e,B11012004,B11012004e,B11012005,B11012005e,B11012006,B11012006e,B11012007,B11012007e,B11012008,B11012008e,B11012009,B11012009e,B11012010,B11012010e,B11012011,B11012011e,B11012012,B11012012e,B11012013,B11012013e,B11012014,B11012014e,B11012015,B11012015e
15000US160010014004,"Block Group 4, Ada, ID",906.000000000000000,161.000000000000000,308.000000000000000,124.000000000000000,127.000000000000000,64.000000000000000,96.000000000000000,57.000000000000000,31.000000000000000,35.000000000000000,181.000000000000000,108.000000000000000,29.000000000000000,34.000000000000000,0.000000000000000,11.000000000000000,29.000000000000000,34.000000000000000,152.000000000000000,112.000000000000000,18.000000000000000,28.000000000000000,134.000000000000000,107.000000000000000,598.000000000000000,152.000000000000000,152.000000000000000,122.000000000000000,446.000000000000000,118.000000000000000
15000US160010015001,"Block Group 1, Ada, ID",651.000000000000000,89.000000000000000,277.000000000000000,66.000000000000000,264.000000000000000,64.000000000000000,234.000000000000000,58.000000000000000,30.000000000000000,38.000000000000000,13.000000000000000,16.000000000000000,7.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,7.000000000000000,11.000000000000000,6.000000000000000,11.000000000000000,6.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,374.000000000000000,89.000000000000000,207.000000000000000,87.000000000000000,167.000000000000000,75.000000000000000
15000US160010015002,"Block Group 2, Ada, ID",437.000000000000000,80.000000000000000,162.000000000000000,48.000000000000000,113.000000000000000,42.000000000000000,106.000000000000000,41.000000000000000,7.000000000000000,12.000000000000000,49.000000000000000,34.000000000000000,25.000000000000000,27.000000000000000,11.000000000000000,16.000000000000000,14.000000000000000,21.000000000000000,24.000000000000000,26.000000000000000,24.000000000000000,26.000000000000000,0.000000000000000,11.000000000000000,275.000000000000000,80.000000000000000,162.000000000000000,55.000000000000000,113.000000000000000,76.000000000000000
15000US160010015003,"Block Group 3, Ada, ID",534.000000000000000,76.000000000000000,350.000000000000000,73.000000000000000,292.000000000000000,59.000000000000000,249.000000000000000,47.000000000000000,43.000000000000000,42.000000000000000,58.000000000000000,41.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,58.000000000000000,41.000000000000000,21.000000000000000,23.000000000000000,37.000000000000000,34.000000000000000,184.000000000000000,84.000000000000000,69.000000000000000,42.000000000000000,115.000000000000000,79.000000000000000
15000US160010016001,"Block Group 1, Ada, ID",521.000000000000000,84.000000000000000,228.000000000000000,61.000000000000000,187.000000000000000,64.000000000000000,166.000000000000000,63.000000000000000,21.000000000000000,23.000000000000000,41.000000000000000,38.000000000000000,10.000000000000000,16.000000000000000,10.000000000000000,16.000000000000000,0.000000000000000,11.000000000000000,31.000000000000000,36.000000000000000,0.000000000000000,11.000000000000000,31.000000000000000,36.000000000000000,293.000000000000000,78.000000000000000,159.000000000000000,79.000000000000000,134.000000000000000,66.000000000000000
15000US160010016002,"Block Group 2, Ada, ID",908.000000000000000,89.000000000000000,555.000000000000000,90.000000000000000,437.000000000000000,82.000000000000000,339.000000000000000,69.000000000000000,98.000000000000000,63.000000000000000,118.000000000000000,59.000000000000000,48.000000000000000,47.000000000000000,8.000000000000000,14.000000000000000,40.000000000000000,45.000000000000000,70.000000000000000,38.000000000000000,56.000000000000000,34.000000000000000,14.000000000000000,17.000000000000000,353.000000000000000,83.000000000000000,192.000000000000000,65.000000000000000,161.000000000000000,64.000000000000000
15000US160010016003,"Block Group 3, Ada, ID",455.000000000000000,73.000000000000000,154.000000000000000,76.000000000000000,62.000000000000000,36.000000000000000,41.000000000000000,31.000000000000000,21.000000000000000,18.000000000000000,92.000000000000000,68.000000000000000,33.000000000000000,54.000000000000000,0.000000000000000,11.000000000000000,33.000000000000000,54.000000000000000,59.000000000000000,43.000000000000000,12.000000000000000,18.000000000000000,47.000000000000000,40.000000000000000,301.000000000000000,79.000000000000000,145.000000000000000,63.000000000000000,156.000000000000000,77.000000000000000
15000US160010017001,"Block Group 1, Ada, ID",318.000000000000000,81.000000000000000,150.000000000000000,71.000000000000000,109.000000000000000,53.000000000000000,82.000000000000000,48.000000000000000,27.000000000000000,26.000000000000000,41.000000000000000,46.000000000000000,24.000000000000000,38.000000000000000,0.000000000000000,11.000000000000000,24.000000000000000,38.000000000000000,17.000000000000000,28.000000000000000,0.000000000000000,11.000000000000000,17.000000000000000,28.000000000000000,168.000000000000000,79.000000000000000,135.000000000000000,83.000000000000000,33.000000000000000,35.000000000000000
15000US160010017002,"Block Group 2, Ada, ID",605.000000000000000,128.000000000000000,316.000000000000000,96.000000000000000,177.000000000000000,75.000000000000000,56.000000000000000,45.000000000000000,121.000000000000000,68.000000000000000,139.000000000000000,68.000000000000000,15.000000000000000,25.000000000000000,0.000000000000000,11.000000000000000,15.000000000000000,25.000000000000000,124.000000000000000,63.000000000000000,22.000000000000000,27.000000000000000,102.000000000000000,63.000000000000000,289.000000000000000,102.000000000000000,86.000000000000000,53.000000000000000,203.000000000000000,92.000000000000000
15000US160010017003,"Block Group 3, Ada, ID",703.000000000000000,159.000000000000000,302.000000000000000,124.000000000000000,147.000000000000000,88.000000000000000,55.000000000000000,48.000000000000000,92.000000000000000,78.000000000000000,155.000000000000000,102.000000000000000,144.000000000000000,98.000000000000000,32.000000000000000,51.000000000000000,112.000000000000000,85.000000000000000,11.000000000000000,17.000000000000000,11.000000000000000,17.000000000000000,0.000000000000000,11.000000000000000,401.000000000000000,152.000000000000000,131.000000000000000,87.000000000000000,270.000000000000000,151.000000000000000
15000US160010017004,"Block Group 4, Ada, ID",710.000000000000000,113.000000000000000,448.000000000000000,109.000000000000000,350.000000000000000,106.000000000000000,208.000000000000000,77.000000000000000,142.000000000000000,95.000000000000000,98.000000000000000,60.000000000000000,22.000000000000000,28.000000000000000,0.000000000000000,11.000000000000000,22.000000000000000,28.000000000000000,76.000000000000000,54.000000000000000,41.000000000000000,41.000000000000000,35.000000000000000,38.000000000000000,262.000000000000000,109.000000000000000,67.000000000000000,47.000000000000000,195.000000000000000,99.000000000000000
