geoid,name,B19013001,B19013001e
15000US160270205043,"Block Group 3, Canyon, ID",40833.000000000000000,3575.000000000000000
15000US160270206011,"Block Group 1, Canyon, ID",44246.000000000000000,2248.000000000000000
15000US160270206021,"Block Group 1, Canyon, ID",24929.000000000000000,26851.000000000000000
15000US160270206022,"Block Group 2, Canyon, ID",30764.000000000000000,7020.000000000000000
15000US160270206023,"Block Group 3, Canyon, ID",47059.000000000000000,33444.000000000000000
15000US160270206024,"Block Group 4, Canyon, ID",48214.000000000000000,21780.000000000000000
15000US160270206025,"Block Group 5, Canyon, ID",25533.000000000000000,3095.000000000000000
15000US160270206026,"Block Group 6, Canyon, ID",34561.000000000000000,6676.000000000000000
15000US160270207001,"Block Group 1, Canyon, ID",62681.000000000000000,17820.000000000000000
15000US160270207002,"Block Group 2, Canyon, ID",60450.000000000000000,10281.000000000000000
15000US160270209011,"Block Group 1, Canyon, ID",52487.000000000000000,5368.000000000000000
15000US160270209012,"Block Group 2, Canyon, ID",57521.000000000000000,7258.000000000000000
15000US160270209013,"Block Group 3, Canyon, ID",74012.000000000000000,27776.000000000000000
15000US160270209021,"Block Group 1, Canyon, ID",49252.000000000000000,7282.000000000000000
15000US160270209022,"Block Group 2, Canyon, ID",66298.000000000000000,10080.000000000000000
15000US160270209023,"Block Group 3, Canyon, ID",57241.000000000000000,5161.000000000000000
15000US160270210011,"Block Group 1, Canyon, ID",44995.000000000000000,2523.000000000000000
15000US160270210021,"Block Group 1, Canyon, ID",40768.000000000000000,6826.000000000000000
15000US160270210022,"Block Group 2, Canyon, ID",46554.000000000000000,18806.000000000000000
15000US160270210023,"Block Group 3, Canyon, ID",42091.000000000000000,8879.000000000000000
15000US160270210024,"Block Group 4, Canyon, ID",32219.000000000000000,4007.000000000000000
15000US160270211001,"Block Group 1, Canyon, ID",52130.000000000000000,5838.000000000000000
15000US160270211002,"Block Group 2, Canyon, ID",51969.000000000000000,11695.000000000000000
15000US160270211003,"Block Group 3, Canyon, ID",53438.000000000000000,9710.000000000000000
15000US160270212001,"Block Group 1, Canyon, ID",42500.000000000000000,12615.000000000000000
15000US160270212002,"Block Group 2, Canyon, ID",16286.000000000000000,11206.000000000000000
15000US160270212003,"Block Group 3, Canyon, ID",30547.000000000000000,9978.000000000000000
15000US160270213001,"Block Group 1, Canyon, ID",22500.000000000000000,9098.000000000000000
15000US160270213002,"Block Group 2, Canyon, ID",29325.000000000000000,8890.000000000000000
15000US160270215001,"Block Group 1, Canyon, ID",19743.000000000000000,13793.000000000000000
15000US160270215002,"Block Group 2, Canyon, ID",25781.000000000000000,3797.000000000000000
15000US160270215003,"Block Group 3, Canyon, ID",22104.000000000000000,10465.000000000000000
15000US160270215004,"Block Group 4, Canyon, ID",20221.000000000000000,9692.000000000000000
15000US160270215005,"Block Group 5, Canyon, ID",18571.000000000000000,8284.000000000000000
15000US160270216001,"Block Group 1, Canyon, ID",18750.000000000000000,8516.000000000000000
15000US160270216002,"Block Group 2, Canyon, ID",39014.000000000000000,4456.000000000000000
15000US160270216003,"Block Group 3, Canyon, ID",58447.000000000000000,9848.000000000000000
15000US160270217001,"Block Group 1, Canyon, ID",42532.000000000000000,10906.000000000000000
15000US160270217002,"Block Group 2, Canyon, ID",47083.000000000000000,3187.000000000000000
15000US160270217003,"Block Group 3, Canyon, ID",33388.000000000000000,3327.000000000000000
15000US160270218001,"Block Group 1, Canyon, ID",46875.000000000000000,14049.000000000000000
15000US160270218002,"Block Group 2, Canyon, ID",57375.000000000000000,26407.000000000000000
15000US160270218003,"Block Group 3, Canyon, ID",60625.000000000000000,6831.000000000000000
15000US160270219011,"Block Group 1, Canyon, ID",45231.000000000000000,16646.000000000000000
15000US160270219012,"Block Group 2, Canyon, ID",40481.000000000000000,4560.000000000000000
15000US160270219031,"Block Group 1, Canyon, ID",50540.000000000000000,22433.000000000000000
15000US160270219032,"Block Group 2, Canyon, ID",63453.000000000000000,7638.000000000000000
15000US160270219033,"Block Group 3, Canyon, ID",53750.000000000000000,16826.000000000000000
15000US160270219041,"Block Group 1, Canyon, ID",45595.000000000000000,9530.000000000000000
15000US160270219042,"Block Group 2, Canyon, ID",28641.000000000000000,10191.000000000000000
15000US160270221001,"Block Group 1, Canyon, ID",35750.000000000000000,10314.000000000000000
15000US160270221002,"Block Group 2, Canyon, ID",31932.000000000000000,16810.000000000000000
15000US160270221003,"Block Group 3, Canyon, ID",41159.000000000000000,3771.000000000000000
15000US160270221004,"Block Group 4, Canyon, ID",26375.000000000000000,6913.000000000000000
15000US160270222001,"Block Group 1, Canyon, ID",46398.000000000000000,3909.000000000000000
